Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
HCLTECH,28-Feb-26,0.5,150,150,150,150,"2,000","3,00,000.00",2
HCLTECH,28-Feb-26,1.5,10,10,10,10,30,300,3
HCLTECH,28-Feb-26,11,10,10,10,10,30,300,3
HCLTECH,27-Feb-26,1,2.9,3,1.76,2,"20,03,226","40,23,095.22","1,243"
HCLTECH,26-Feb-26,3,0.65,1.5,0.65,1,"1,14,350","1,14,413.81",13
HCLTECH,25-Feb-26,0.99,1,1,0.99,1,837,835.12,3
HCLTECH,25-Feb-26,0.55,1.99,4.6,1.3,3,"10,86,445","24,01,328.91","1,275"
HCLTECH,24-Feb-26,1,1.49,1.99,0.55,0.55,"7,026","7,755.38",8
HCLTECH,23-Feb-26,0.75,1.99,1.99,1,1,700,"1,046.50",3
HCLTECH,19-Feb-26,0.25,1.99,1.99,0.75,0.75,700,959,3
HCLTECH,18-Feb-26,1,0.25,0.99,0.25,0.99,200,189.12,2
HCLTECH,06-Feb-26,17.27,0.99,1,0.99,0.99,"2,800","2,791.14",2
HCLTECH,04-Feb-26,0.25,1,1,0.98,1,"11,900","11,872.28",5
HCLTECH,03-Feb-26,1.1,0.25,0.25,0.25,0.25,142,35.5,2
HCLTECH,29-Jan-26,2.74,0.25,0.25,0.25,0.25,259,64.75,1
HCLTECH,28-Jan-26,6.24,2,2,2,2,12,24,4
HCLTECH,27-Jan-26,0.5,0.99,2.99,0.99,2.74,"1,777","4,871.23",2
HCLTECH,27-Jan-26,1.29,0.82,10,0.82,6.24,"1,33,753","5,34,451.79",194
HCLTECH,23-Jan-26,1,1.29,1.29,1.29,1.29,9,11.61,3
HCLTECH,23-Jan-26,0.01,0.5,0.5,0.5,0.5,"1,306",653,6
HCLTECH,21-Jan-26,1,0.5,0.5,0.5,0.5,"2,800","1,400.00",1
HCLTECH,19-Jan-26,0.01,1,1,1,1,12,12,5
HCLTECH,13-Jan-26,1.74,0.01,0.01,0.01,0.01,20,0.2,1
