Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
INFY,28-Feb-26,8,10,10,10,10,30,300,3
INFY,28-Feb-26,0.25,10,10,10,10,30,300,3
INFY,28-Feb-26,1.8,150,150,150,150,"2,000","3,00,000.00",2
INFY,27-Feb-26,0.1,0.1,0.5,0.1,0.5,"12,500","6,249.60",2
INFY,26-Feb-26,1.05,0.1,0.1,0.1,0.1,1,0.1,1
INFY,25-Feb-26,0.5,0.5,0.5,0.5,0.5,"6,600","3,300.00",2
INFY,25-Feb-26,0.71,1.9,1.9,0.57,1.05,"6,13,591","6,98,684.65",504
INFY,24-Feb-26,0.74,0.5,1.99,0.31,0.71,"10,79,001","12,92,546.74","6,751"
INFY,24-Feb-26,0.51,0.65,2,0.5,0.5,"59,213","37,715.96",25
INFY,24-Feb-26,1.5,1,1,0.5,0.5,"3,135","1,767.50",3
INFY,23-Feb-26,0.5,0.31,1.5,0.31,1.5,"1,200",645.18,11
INFY,23-Feb-26,0.5,0.5,0.6,0.5,0.51,"47,716","25,055.64",26
INFY,23-Feb-26,0.75,1.99,2,0.4,0.74,"98,280","1,61,711.64",47
INFY,20-Feb-26,1,1.2,1.25,0.5,0.75,"37,400","28,380.00",28
INFY,20-Feb-26,0.55,0.5,0.5,0.5,0.5,"2,000","1,000.00",3
INFY,20-Feb-26,0.55,0.6,0.6,0.5,0.5,"88,400","51,338.00",40
INFY,19-Feb-26,0.4,0.5,0.6,0.5,0.55,"4,33,566","2,39,119.01",107
INFY,19-Feb-26,1.25,1.25,1.25,0.75,1,"1,01,197","1,01,250.50",55
INFY,19-Feb-26,0.74,0.44,0.74,0.44,0.55,"6,875","3,436.52",12
INFY,18-Feb-26,0.49,0.25,1,0.25,0.74,"52,719","25,027.03",45
INFY,18-Feb-26,0.5,0.5,0.55,0.4,0.4,"2,21,103","1,12,240.90",83
INFY,18-Feb-26,0.9,1,1.26,0.7,1.25,"1,57,812","1,65,636.95",91
INFY,17-Feb-26,0.4,0.05,0.49,0.05,0.49,"9,887","4,813.07",9
INFY,17-Feb-26,0.05,1.5,1.5,0.26,0.9,"7,037","6,834.12",9
INFY,17-Feb-26,0.6,0.4,0.55,0.4,0.5,"1,21,200","59,385.82",39
INFY,16-Feb-26,0.82,0.05,0.4,0.05,0.4,"1,955",744.9,4
INFY,16-Feb-26,1.99,0.05,0.05,0.05,0.05,145,7.25,1
INFY,13-Feb-26,0.48,0.49,0.6,0.49,0.6,"16,000","8,834.18",2
INFY,13-Feb-26,0.4,1.99,1.99,1.99,1.99,1,1.99,1
INFY,12-Feb-26,0.7,0.5,0.5,0.4,0.4,"8,765","3,906.00",3
INFY,12-Feb-26,0.3,0.5,0.5,0.48,0.48,"24,227","12,108.96",5
INFY,12-Feb-26,4,0.18,0.82,0.18,0.82,6,4.28,2
INFY,11-Feb-26,0.5,0.4,0.5,0.3,0.3,"44,173","21,545.02",14
