Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
TCS,28-Feb-26,0.5,"1,000.00","1,000.00","1,000.00","1,000.00","1,000","10,00,000.00",1
TCS,28-Feb-26,0.8,"1,978.00","1,978.00","1,978.00","1,978.00",100,"1,97,800.00",1
TCS,28-Feb-26,-,"2,150.00","2,235.00","2,100.00","2,235.00",4,"8,715.00",4
TCS,28-Feb-26,2,10,150,10,150,"2,001","3,00,010.00",3
TCS,27-Feb-26,0.99,0.03,0.98,0.03,0.95,741,698.48,6
TCS,26-Feb-26,0.5,0.02,0.99,0.02,0.99,373,346.99,3
TCS,25-Feb-26,1.5,0.5,0.5,0.06,0.5,"2,654","1,325.24",9
TCS,23-Feb-26,0.5,1.5,1.5,1.5,1.5,350,525,2
TCS,20-Feb-26,1,0.99,0.99,0.99,0.99,175,173.25,1
TCS,13-Feb-26,0.01,0.01,0.01,0.01,0.01,1,0.01,1
TCS,13-Feb-26,0.01,0.5,0.5,0.5,0.5,645,322.5,7
TCS,12-Feb-26,0.64,1,1,0.01,0.01,50,11.39,5
TCS,11-Feb-26,4.23,0.64,0.64,0.64,0.64,10,6.4,1
TCS,07-Feb-26,0.1,7.5,8,7.5,8,"6,700","53,500.00",3
TCS,07-Feb-26,1,5,5,5,5,100,500,1
TCS,07-Feb-26,4.23,5,29.42,5,29.42,"17,244","5,04,876.48",5
TCS,06-Feb-26,0.91,4.23,4.23,4.23,4.23,1,4.23,1
TCS,04-Feb-26,1,1,1.8,0.25,0.91,"4,564","3,530.31",24
TCS,03-Feb-26,0.05,0.99,1,0.99,1,350,348.42,2
TCS,02-Feb-26,0.95,0.05,0.05,0.05,0.05,2,0.1,2
TCS,30-Jan-26,0.05,0.15,0.95,0.15,0.95,591,542.38,8
TCS,28-Jan-26,0.5,0.05,0.05,0.05,0.05,30,1.5,1
TCS,23-Jan-26,0.5,0.5,0.5,0.5,0.5,350,175,2
TCS,22-Jan-26,0.5,0.7,0.7,0.5,0.5,"3,500","1,750.20",2
TCS,22-Jan-26,0.5,0.5,0.5,0.5,0.5,1,0.5,1
TCS,21-Jan-26,1,0.46,0.5,0.46,0.5,"5,250","2,588.38",19
TCS,21-Jan-26,0.01,30,30,0.5,0.5,"11,801","6,069.00",29
TCS,19-Jan-26,"3,239.60",0.01,0.01,0.01,0.01,1,0.01,1
TCS,13-Jan-26,0.99,1,1,0.2,0.3,"5,719","1,718.00",24
TCS,12-Jan-26,0.97,0.5,1,0.03,0.99,"26,850","23,191.76",45
TCS,09-Jan-26,0.46,0.97,0.97,0.97,0.97,19,18.43,1
TCS,08-Jan-26,0.25,0.5,0.5,0.25,0.46,"22,325","11,063.41",59
TCS,07-Jan-26,0.5,0.03,0.25,0.03,0.25,"2,932",630.68,10
TCS,03-Jan-26,1,8,8,8,8,"1,000","8,000.00",1
TCS,03-Jan-26,0.5,1,1,1,1,"27,100","27,100.00",28
TCS,03-Jan-26,0.8,0.8,0.8,0.8,0.8,100,80,1
TCS,02-Jan-26,0.03,0.5,0.5,0.5,0.5,1,1,1
TCS,31-Dec-25,0.75,0.03,0.03,0.03,0.03,4,-,1
TCS,30-Dec-25,0.44,0.4,0.4,0.3,0.3,"5,436","2,034.00",11
TCS,26-Dec-25,0.44,0.44,0.44,0.44,0.44,2,1,1
TCS,24-Dec-25,0.5,0.44,0.99,0.44,0.99,700,496,5
TCS,22-Dec-25,1,0.5,0.5,0.5,0.5,525,263,1
TCS,22-Dec-25,0.02,0.5,0.5,0.44,0.44,359,158,5
TCS,20-Dec-25,0.02,0.02,0.02,0.02,0.02,60,1,2
TCS,20-Dec-25,0.48,"1,000.00","1,000.00","1,000.00","1,000.00",50,"50,000.00",1
TCS,20-Dec-25,0.8,"2,830.00","2,830.00","2,830.00","2,830.00",112,"3,16,960.00",2
TCS,19-Dec-25,0.2,0.49,0.5,0.02,0.02,774,262,4
TCS,18-Dec-25,0.06,0.5,0.5,0.01,0.2,717,349,5
TCS,16-Dec-25,0.12,0.02,0.06,0.02,0.06,14,-,2
TCS,12-Dec-25,0.48,0.12,0.12,0.12,0.12,10,1,1
TCS,10-Dec-25,0.04,0.05,0.48,0.05,0.48,"2,276",536,9
TCS,09-Dec-25,0.03,0.04,0.04,0.04,0.04,6,-,1
TCS,08-Dec-25,0.48,0.01,0.03,0.01,0.03,22,-,2
TCS,05-Dec-25,0.01,0.01,0.48,0.01,0.48,15,2,2
TCS,04-Dec-25,0.6,0.01,0.01,0.01,0.01,22,-,2
TCS,26-Nov-25,0.6,0.6,0.6,0.6,0.6,700,420,1
TCS,25-Nov-25,0.39,0.29,0.35,0.29,0.35,700,214,2
TCS,24-Nov-25,0.34,0.39,0.39,0.39,0.39,175,68,1
TCS,21-Nov-25,0.18,0.34,0.34,0.34,0.34,525,179,1
TCS,20-Nov-25,0.49,0.25,0.6,0.25,0.6,750,339,7
TCS,19-Nov-25,0.49,0.18,0.18,0.18,0.18,4,1,1
TCS,14-Nov-25,0.29,0.5,0.5,0.05,0.49,"1,750",864,7
TCS,14-Nov-25,0.49,0.49,0.49,0.49,0.49,350,172,1
TCS,12-Nov-25,1.24,0.25,0.5,0.25,0.49,"6,575","2,344.00",13
TCS,04-Nov-25,0.5,0.29,0.29,0.29,0.29,11,3,1
TCS,28-Oct-25,0.5,0.5,0.5,0.5,0.5,"1,010",505,2
TCS,23-Oct-25,0.5,0.45,0.5,0.45,0.5,"1,400",692,2
TCS,08-Oct-25,2.95,0.5,0.5,0.5,0.5,175,88,1
TCS,08-Oct-25,0.5,0.5,0.5,0.5,0.5,750,375,1
TCS,04-Oct-25,2.95,2,2,2,2,"6,005","12,010.00",9
TCS,04-Oct-25,6,6.5,60,6.5,6.5,"6,469","46,206.00",78
TCS,04-Oct-25,3,15,15,15,15,"72,500","10,87,500.00",29
TCS,30-Sep-25,0.48,0.44,0.44,0.44,0.44,574,253,3
TCS,19-Sep-25,2.95,2.95,2.95,2.95,2.95,36,106,1
TCS,10-Sep-25,0.7,0.48,0.48,0.48,0.48,25,12,1
TCS,25-Aug-25,1.96,0.48,0.48,0.48,0.48,525,252,3
TCS,02-Aug-25,3,0.05,200,0.05,200,100,"10,003.00",2
TCS,02-Aug-25,1.24,"1,210.00","1,500.00","1,208.00","1,306.00",4,"5,128.00",4
TCS,02-Aug-25,0.99,1,1,1,1,10,10,3
TCS,02-Aug-25,1.96,"2,250.00","2,250.00","2,250.00","2,250.00",10,"22,500.00",1
TCS,31-Jul-25,1.95,1.88,2,1.88,1.96,46,90,2
TCS,05-Jul-25,0.99,5,5,5,5,11,55,2
TCS,05-Jul-25,0.9,0.9,0.9,0.9,0.9,100,90,1
TCS,05-Jul-25,1.24,150,150,150,150,2,300,2
TCS,05-Jul-25,-,8,8,8,8,50,400,1
TCS,05-Jul-25,1.95,70,70,70,70,5,350,1
TCS,01-Jul-25,1,0.98,0.99,0.98,0.99,"1,575","1,547.00",10
TCS,26-Jun-25,0.98,0.98,1,0.98,1,"50,000","49,995.00",25
TCS,24-Jun-25,2,0.98,0.98,0.98,0.98,32,31,1
TCS,21-Jun-25,0.9,12.5,150,12.5,150,7,363,3
TCS,14-Jun-25,1,0.08,0.08,0.08,0.08,100,8,1
TCS,02-Jun-25,0.5,0.9,0.9,0.9,0.9,14,13,1
TCS,24-May-25,2,2,2,2,2,51,102,2
TCS,24-May-25,2,"2,000.00","2,000.00","2,000.00","2,000.00",100,"2,00,000.00",1
TCS,19-May-25,0.9,0.8,0.8,0.8,0.8,20,16,1
TCS,13-May-25,1,0.9,0.9,0.9,0.9,21,19,1
TCS,25-Apr-25,2,0.99,1,0.99,1,"1,500","1,498.00",2
TCS,09-Apr-25,0.9,0.5,0.5,0.5,0.5,"20,000","10,000.00",46
TCS,08-Apr-25,0.99,0.9,0.9,0.9,0.9,69,62,2
TCS,27-Mar-25,0.75,0.99,0.99,0.99,0.99,12,12,1
TCS,24-Mar-25,1,0.75,0.75,0.75,0.75,700,525,2
TCS,12-Mar-25,0.5,0.01,0.01,0.01,0.01,"1,050",11,6
TCS,03-Mar-25,0.99,0.5,0.5,0.5,0.5,700,350,1
TCS,28-Feb-25,0.99,0.99,0.99,0.99,0.99,16,16,1
TCS,20-Feb-25,0.85,0.99,0.99,0.99,0.99,350,347,1
TCS,13-Feb-25,0.98,0.85,0.85,0.85,0.85,37,31,1
TCS,11-Feb-25,0.89,0.98,0.98,0.98,0.98,1,1,1
TCS,10-Feb-25,0.97,0.89,0.89,0.89,0.89,18,16,1
TCS,07-Feb-25,1,0.97,0.97,0.97,0.97,13,13,1
TCS,06-Feb-25,1.5,1,1,1,1,700,700,2
TCS,30-Jan-25,0.55,0.7,0.75,0.7,0.75,"1,750","1,294.00",2
TCS,30-Jan-25,1,4,12.19,4,12.19,"7,350","33,656.00",11
TCS,29-Jan-25,0.65,0.55,0.55,0.55,0.55,175,96,1
TCS,28-Jan-25,0.96,0.65,0.65,0.65,0.65,452,294,5
TCS,28-Jan-25,1,1,1,1,1,350,350,1
TCS,09-Jan-25,1,1,1,1,1,"10,490","10,490.00",22
TCS,09-Jan-25,0.88,0.99,1,0.96,0.96,"12,241","12,106.00",18
TCS,08-Jan-25,1,0.49,0.9,0.49,0.88,"2,450","1,451.00",7
TCS,08-Jan-25,1,1,1,1,1,"11,035","11,035.00",21
TCS,08-Jan-25,0.9,2,2,1,1,"5,250","8,750.00",5
TCS,07-Jan-25,27.53,2,2,1,1,"6,400","7,000.00",11
TCS,07-Jan-25,1,1,1,1,1,"1,050","1,050.00",5
TCS,03-Jan-25,2.1,1,1,1,1,"3,500","3,500.00",1
TCS,02-Jan-25,2.5,1.5,2.3,1.5,2.1,"23,891","49,051.00",89
TCS,01-Jan-25,1,2.69,3,2.5,2.5,"2,450","7,009.00",24
TCS,31-Dec-24,2,1,1,1,1,"1,400","1,400.00",4
TCS,30-Dec-24,1.97,3,5,2,2,"30,130","1,35,239.00",105
TCS,26-Dec-24,3,2,2,1.25,1.97,"20,938","34,070.00",56
TCS,24-Dec-24,3,3,3,2,3,"10,500","28,235.00",97
TCS,23-Dec-24,2.99,3,3,2.99,3,"2,100","6,298.00",16
TCS,20-Dec-24,1,1.24,1.24,1.24,1.24,107,133,1
TCS,20-Dec-24,2,2,4,1,2.99,"63,525","1,85,699.00",126
TCS,20-Dec-24,0.7,1,1,1,1,700,700,2
TCS,19-Dec-24,1.95,1,1,1,1,350,350,2
TCS,19-Dec-24,1,0.7,0.7,0.7,0.7,"5,600","3,920.00",12
TCS,18-Dec-24,1.99,2,2,2,2,175,350,1
TCS,18-Dec-24,1,1,1.95,1,1.95,"3,618","5,434.00",18
TCS,16-Dec-24,2.25,2,3,1.99,1.99,"8,750","20,333.00",16
TCS,13-Dec-24,2.66,0.99,1,0.99,1,"6,300","6,290.00",7
TCS,12-Dec-24,0.99,1,1,0.75,1,"27,844","27,517.00",110
TCS,12-Dec-24,0.15,1.5,2.25,1,2.25,"1,400","1,936.00",6
TCS,11-Dec-24,0.9,0.99,0.99,0.99,0.99,525,520,3
TCS,10-Dec-24,1,0.9,0.9,0.9,0.9,"1,225","1,103.00",8
TCS,09-Dec-24,0.99,1,1,0.99,1,"5,775","5,771.00",30
TCS,06-Dec-24,0.99,0.99,1,0.99,0.99,"3,571","3,565.00",11
TCS,05-Dec-24,1.35,1,1,0.99,0.99,"5,800","5,786.00",10
TCS,04-Dec-24,1,1.35,1.35,1.35,1.35,"1,750","2,363.00",7
TCS,03-Dec-24,2,0.7,1,0.7,1,"4,725","4,553.00",16
TCS,29-Nov-24,0.5,0.5,0.5,0.5,0.5,210,105,2
TCS,28-Nov-24,1,2,2,2,2,"1,400","2,800.00",1
TCS,28-Nov-24,0.5,0.5,0.5,0.5,0.5,200,100,1
TCS,26-Nov-24,3,3,4.95,1,1,"4,600","10,440.00",9
TCS,26-Nov-24,0.5,0.5,0.5,0.5,0.5,"1,700",850,4
TCS,23-Nov-24,2,"3,000.00","3,000.00","3,000.00","3,000.00","80,000","24,00,00,000.00",1
TCS,22-Nov-24,-,2.8,3,2.8,3,"1,400","4,125.00",3
TCS,22-Nov-24,0.5,0.5,0.99,0.5,0.5,"29,575","20,640.00",79
TCS,21-Nov-24,1,0.5,0.5,0.5,0.5,"6,650","3,325.00",17
TCS,07-Nov-24,2.48,1.5,1.5,1,1,"1,050","1,313.00",3
TCS,06-Nov-24,4,2.85,2.85,2,2.48,"1,750","3,965.00",5
TCS,04-Nov-24,3,2.95,4,2.95,4,74,229,2
TCS,31-Oct-24,1.5,1.25,3,1.25,3,350,629,6
TCS,23-Oct-24,1,0.5,1.5,0.5,1.5,350,189,3
TCS,21-Oct-24,"4,116.80",0.5,1,0.5,1,976,964,5
TCS,21-Oct-24,2.5,2.75,3,2.75,2.95,370,"1,103.00",4
TCS,11-Oct-24,1.5,2.75,2.75,2.5,2.5,261,703,2
TCS,10-Oct-24,1.5,1,3.8,1,1.5,"96,725","2,21,928.00",171
TCS,08-Oct-24,1.8,2,2,1.5,1.5,"18,200","27,475.00",19
TCS,07-Oct-24,3,2.99,3,1.5,1.8,"1,49,225","2,73,276.00",145
TCS,04-Oct-24,2,1,3,1,3,"35,575","57,991.00",89
TCS,03-Oct-24,2.5,3,3.95,2,2,"9,100","25,050.00",38
TCS,01-Oct-24,1,2.5,2.5,2.5,2.5,175,438,1
TCS,28-Sep-24,2,"3,231.00","3,231.00","3,231.00","3,231.00",100,"3,23,100.00",1
TCS,26-Sep-24,1,1,1,1,1,"1,925","1,925.00",8
TCS,26-Sep-24,2.5,0.7,0.7,0.7,0.7,"1,500","1,050.00",4
TCS,25-Sep-24,3,2.5,2.5,2.5,2.5,14,35,1
TCS,20-Sep-24,0.99,0.89,3,0.89,3,"6,889","16,072.00",22
TCS,18-Sep-24,1.25,1,1,0.99,1,"17,500","17,471.00",21
TCS,12-Sep-24,0.5,1.5,1.5,0.75,1.25,"18,025","24,829.00",38
TCS,09-Sep-24,1,0.99,0.99,0.99,0.99,19,19,1
TCS,06-Sep-24,2.97,1,1,1,1,"2,889","2,889.00",1
TCS,04-Sep-24,3,1,2.97,1,2.97,69,95,3
TCS,30-Aug-24,2.95,3,3,3,3,11,33,1
TCS,29-Aug-24,1,1.95,1.95,1.95,1.95,525,"1,024.00",1
TCS,29-Aug-24,2,2.95,2.95,2.95,2.95,35,103,2
TCS,26-Aug-24,0.55,0.6,0.6,0.6,0.6,700,420,3
TCS,26-Aug-24,0.64,1,1,1,1,54,54,3
TCS,23-Aug-24,1,1,2,1,2,"20,125","37,302.00",21
TCS,21-Aug-24,1,0.5,1,0.5,1,"2,625","2,274.00",5
TCS,21-Aug-24,1.34,1,1,0.5,0.64,719,467,7
TCS,20-Aug-24,1,1.34,1.34,1.34,1.34,2,3,1
TCS,20-Aug-24,0.75,0.55,0.55,0.55,0.55,500,275,1
TCS,20-Aug-24,1,1,1,1,1,"19,075","19,075.00",27
TCS,19-Aug-24,1,1,1,1,1,875,875,4
TCS,19-Aug-24,1,0.9,1,0.9,1,700,690,2
TCS,14-Aug-24,1,0.8,1,0.8,1,"3,675","3,611.00",8
TCS,26-Jul-24,2.95,1,1,1,1,437,437,2
TCS,26-Jul-24,0.7,1,1,1,1,"1,400","1,400.00",2
TCS,25-Jul-24,3,2.95,2.95,2.95,2.95,5,15,1
TCS,25-Jul-24,1,2,2,2,2,20,40,4
TCS,24-Jul-24,0.5,0.7,0.7,0.7,0.7,"1,050",735,6
TCS,24-Jul-24,0.8,1,1,1,1,20,20,4
TCS,23-Jul-24,3,3,3,3,3,10,30,1
TCS,16-Jul-24,2,2,3,2,3,"5,804","13,617.00",6
TCS,15-Jul-24,1,2,2,1.5,2,"15,263","29,754.00",51
TCS,12-Jul-24,1,1,1,1,1,"2,733","2,733.00",10
TCS,10-Jul-24,0.8,0.8,0.8,0.8,0.8,5,4,1
TCS,10-Jul-24,1,1,1,1,1,"6,203","6,203.00",14
TCS,09-Jul-24,1,1,1,1,1,"11,297","11,297.00",2
TCS,08-Jul-24,0.5,0.5,0.5,0.5,0.5,"8,000","4,000.00",8
TCS,08-Jul-24,0.5,0.8,0.8,0.8,0.8,7,6,1
TCS,04-Jul-24,0.4,1,1,1,1,"1,225","1,225.00",1
TCS,04-Jul-24,0.75,0.74,0.75,0.5,0.5,"2,975","1,915.00",8
TCS,02-Jul-24,0.75,0.75,0.75,0.75,0.75,"3,150","2,363.00",3
TCS,28-Jun-24,0.75,0.75,0.75,0.75,0.75,33,25,1
TCS,28-Jun-24,1,0.51,0.51,0.5,0.5,"1,575",793,10
TCS,27-Jun-24,0.75,0.75,0.75,0.75,0.75,"1,534","1,151.00",2
TCS,27-Jun-24,0.5,0.5,0.5,0.5,0.5,175,88,1
TCS,26-Jun-24,0.49,0.5,0.5,0.5,0.5,"1,050",525,2
TCS,26-Jun-24,0.75,0.75,0.75,0.75,0.75,"1,575","1,181.00",2
TCS,25-Jun-24,0.75,0.75,0.75,0.75,0.75,"1,050",788,1
TCS,24-Jun-24,0.75,0.75,0.75,0.5,0.75,"2,275","1,512.00",4
TCS,22-Jun-24,2,10,10,10,10,1,10,1
TCS,22-Jun-24,0.49,"2,000.00","2,000.00","2,000.00","2,000.00",100,"2,00,000.00",1
TCS,20-Jun-24,0.65,0.75,0.75,0.75,0.75,"4,200","3,150.00",1
TCS,19-Jun-24,0.75,0.75,0.75,0.65,0.65,"8,750","6,283.00",9
TCS,19-Jun-24,0.55,0.49,0.49,0.49,0.49,19,9,1
TCS,14-Jun-24,0.98,0.75,0.75,0.75,0.75,"2,800","2,100.00",12
TCS,13-Jun-24,1,0.5,0.98,0.5,0.98,"2,100","1,122.00",3
TCS,12-Jun-24,1,0.5,1,0.5,1,"6,125","3,117.00",7
TCS,11-Jun-24,0.58,1,1,1,1,"19,950","19,950.00",48
TCS,10-Jun-24,0.5,0.58,0.58,0.58,0.58,525,305,1
TCS,10-Jun-24,1,0.55,0.55,0.55,0.55,525,289,1
