Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
TECHM,28-Feb-26,0.95,150,150,150,150,"2,000","3,00,000.00",2
TECHM,27-Jan-26,3.64,2,2,2,2,"68,293","1,36,586.00",60
TECHM,27-Jan-26,0.05,1.4,4,1.4,1.9,600,"1,142.00",3
TECHM,19-Jan-26,4.99,0.05,0.05,0.05,0.05,1,0.05,1
TECHM,16-Jan-26,0.5,4.98,5,4.98,4.99,"3,100","15,484.00",2
TECHM,16-Jan-26,1.39,1.4,5,1.4,3.64,"16,838","61,352.24",43
TECHM,02-Jan-26,4.9,1.39,1.39,1.39,1.39,70,97,1
TECHM,23-Dec-25,0.5,0.74,0.74,0.74,0.74,150,111,1
TECHM,10-Nov-25,5,0.01,0.01,0.01,0.01,2,-,1
TECHM,31-Oct-25,5,5,5,5,5,1,5,1
TECHM,28-Oct-25,3.7,1,1,1,1,"1,800","1,800.00",1
TECHM,27-Oct-25,0.5,5,5,5,5,101,505,3
TECHM,23-Oct-25,"1,459.00",1,1.25,1,1.25,"2,400","2,497.00",4
TECHM,15-Oct-25,2.5,3.7,3.7,3.7,3.7,57,211,1
TECHM,14-Oct-25,3,2,3,1.5,2.5,"42,118","1,03,813.00",25
TECHM,13-Oct-25,3.2,3,3,3,3,76,228,1
TECHM,09-Oct-25,0.5,0.5,4,0.5,3.2,"2,71,482","8,57,510.00",117
TECHM,07-Oct-25,0.48,0.5,0.5,0.5,0.5,600,300,2
TECHM,06-Oct-25,0.25,0.48,0.48,0.48,0.48,8,4,1
TECHM,03-Oct-25,0.92,0.25,0.25,0.25,0.25,200,50,1
TECHM,01-Oct-25,0.49,0.5,0.92,0.25,0.92,"2,900","1,629.00",12
TECHM,30-Sep-25,1.99,0.48,0.5,0.48,0.49,600,300,2
TECHM,01-Sep-25,0.75,1.44,1.44,1.44,1.44,5,7,1
TECHM,25-Aug-25,1.87,0.5,0.5,0.5,0.5,"1,500",750,7
TECHM,12-Aug-25,1.68,1.87,1.87,1.87,1.87,50,94,1
TECHM,11-Aug-25,2.89,0.5,1.68,0.5,1.68,653,373,3
TECHM,26-Jun-25,1.5,4.5,4.5,4.5,4.5,6,27,1
TECHM,11-Jun-25,1.1,1.5,1.5,1.5,1.5,"1,000","1,500.00",8
TECHM,09-Jun-25,1.8,1.1,1.1,1.1,1.1,189,208,1
TECHM,05-Jun-25,4.95,4.8,4.8,4.8,4.8,11,53,2
TECHM,04-Jun-25,0.5,4.95,4.95,4.95,4.95,43,213,1
TECHM,29-May-25,2.5,1,3,0.99,1.14,"2,67,122","3,04,276.00",91
TECHM,23-May-25,3.65,2.5,2.5,2.5,2.5,54,135,1
TECHM,19-May-25,1.1,0.5,0.5,0.5,0.5,"2,012","1,006.00",2
TECHM,12-May-25,0.5,1.1,1.1,1.1,1.1,"1,600","1,760.00",3
TECHM,08-May-25,2,0.5,0.5,0.5,0.5,"2,789","1,395.00",6
TECHM,06-May-25,1.1,1,3.65,1,3.65,600,"1,582.00",5
TECHM,29-Apr-25,1.1,1.1,1.1,1.1,1.1,934,"1,027.00",2
TECHM,15-Apr-25,1.1,1.1,1.1,1.1,1.1,816,898,7
TECHM,11-Apr-25,1.1,1.1,1.1,1.1,1.1,970,"1,067.00",1
TECHM,09-Apr-25,1.49,1.1,1.1,1.1,1.1,"1,000","1,100.00",2
TECHM,08-Apr-25,1.95,1.1,1.1,1.1,1.1,"1,000","1,100.00",2
TECHM,07-Apr-25,1.94,1.9,1.95,1.9,1.95,111,212,2
TECHM,04-Apr-25,1.1,1.94,1.94,1.94,1.94,17,33,1
TECHM,02-Apr-25,2,1.1,1.1,1.1,1.1,"1,000","1,100.00",1
TECHM,27-Mar-25,1.1,2,2,2,2,"4,200","8,400.00",16
TECHM,25-Mar-25,1.1,1.1,1.1,1.1,1.1,181,199,1
TECHM,21-Mar-25,1,1.1,1.1,1.1,1.1,"1,034","1,137.00",2
TECHM,19-Mar-25,0.5,0.5,1,0.5,1,20,15,2
TECHM,12-Mar-25,4,0.5,0.5,0.5,0.5,24,12,1
TECHM,10-Mar-25,0.5,0.5,4,0.5,4,"3,975","7,913.00",5
TECHM,07-Mar-25,1.49,0.5,0.5,0.5,0.5,600,300,1
TECHM,05-Mar-25,1,1.1,2,1.1,2,"1,202","1,324.00",2
TECHM,04-Mar-25,3,1.05,1.05,1,1,"3,606","3,696.00",5
TECHM,03-Mar-25,1.1,3,3,3,3,"3,600","10,800.00",1
TECHM,25-Feb-25,1.1,1.1,1.1,1.1,1.1,600,660,1
TECHM,24-Feb-25,1.1,1.1,1.1,1.1,1.1,600,660,3
TECHM,21-Feb-25,1.45,1.49,1.5,1.49,1.5,"9,895","14,833.00",27
TECHM,20-Feb-25,0.75,1.1,1.1,1.1,1.1,600,660,1
TECHM,19-Feb-25,1.3,1.45,1.45,1.45,1.45,"2,400","3,480.00",5
TECHM,19-Feb-25,1.99,3,3,0.5,0.5,30,65,3
TECHM,19-Feb-25,0.5,0.75,0.75,0.75,0.75,10,8,1
TECHM,18-Feb-25,1.49,0.5,0.5,0.5,0.5,"1,25,000","62,500.00",2
TECHM,18-Feb-25,2,1.3,2,1.3,1.99,25,38,4
TECHM,14-Feb-25,1.48,1.3,1.48,1.3,1.3,"8,400","12,144.00",12
TECHM,13-Feb-25,0.5,0.5,3,0.5,2,"1,78,728","91,076.00",23
TECHM,13-Feb-25,9.77,1,1.48,1,1.48,"3,600","5,193.00",8
TECHM,12-Feb-25,1.9,0.5,1,0.5,0.5,"1,52,400","77,700.00",14
TECHM,11-Feb-25,1.9,1.9,1.9,1.9,1.9,5,10,1
TECHM,10-Feb-25,1.9,1.9,1.9,1.9,1.9,10,19,2
TECHM,07-Feb-25,4,1.9,1.9,1.9,1.9,10,19,1
TECHM,06-Feb-25,0.5,4,4,4,4,55,220,1
TECHM,03-Feb-25,1,0.5,0.5,0.5,0.5,18,9,1
TECHM,30-Jan-25,1,1,1,1,1,"71,250","71,250.00",2
TECHM,30-Jan-25,1.6,1.5,2,1.5,1.55,"31,510","60,851.00",68
TECHM,30-Jan-25,4,4.9,4.9,4.9,4.9,5,25,1
TECHM,29-Jan-25,2,2,2,1,1,"40,050","46,100.00",13
TECHM,29-Jan-25,0.95,2,2.75,1.5,1.6,"22,800","42,299.00",57
TECHM,28-Jan-25,1,2.5,2.99,0.95,0.95,"5,375","7,134.00",17
TECHM,28-Jan-25,3,1.5,2,1.5,2,"3,500","6,750.00",3
TECHM,28-Jan-25,5,4,4,4,4,162,648,1
TECHM,27-Jan-25,1.5,4.95,5,4.95,5,"2,400","11,893.00",6
TECHM,27-Jan-25,5,1.5,4,1.5,3,"55,663","1,06,967.00",33
TECHM,24-Jan-25,2,4,4,1.5,1.5,"2,440","5,738.00",13
