Symbol ,Date ,PREV. CLOSE ,Open Price ,High Price ,Low Price ,Close Price ,Total Traded Quantity ,Total Traded Value in Rs.,Number of Trades 
WIPRO,27-Feb-26,0.05,0.02,0.19,0.02,0.1,"1,21,697","19,488.19",11
WIPRO,27-Feb-26,0.25,0.25,0.25,0.25,0.25,2,0.5,1
WIPRO,26-Feb-26,0.1,0.25,0.25,0.25,0.25,40,10,1
WIPRO,26-Feb-26,0.3,0.05,0.05,0.05,0.05,1,0.05,1
WIPRO,25-Feb-26,0.5,0.31,0.31,0.3,0.3,"4,553","1,391.43",3
WIPRO,23-Feb-26,0.73,0.2,0.5,0.15,0.5,"16,498","3,073.90",3
WIPRO,23-Feb-26,0.8,0.3,0.3,0.3,0.3,400,120,1
WIPRO,20-Feb-26,0.15,0.03,0.03,0.03,0.03,1,0.03,1
WIPRO,20-Feb-26,0.68,0.25,0.73,0.25,0.73,"1,773",573.33,3
WIPRO,19-Feb-26,0.85,0.8,0.8,0.8,0.8,"7,057","5,645.60",3
WIPRO,19-Feb-26,0.17,0.15,0.15,0.15,0.15,571,85.65,1
WIPRO,19-Feb-26,0.83,0.85,0.89,0.5,0.68,"67,028","54,583.14",19
WIPRO,18-Feb-26,0.74,0.71,1,0.7,0.85,"12,00,089","9,58,539.49",91
WIPRO,18-Feb-26,0.67,0.7,0.98,0.4,0.83,"32,20,050","25,23,178.97",464
WIPRO,17-Feb-26,0.65,0.65,0.75,0.24,0.67,"4,15,046","2,95,840.88",35
WIPRO,17-Feb-26,0.73,0.74,0.75,0.72,0.74,"3,11,000","2,30,253.63",32
WIPRO,16-Feb-26,0.79,0.65,0.7,0.65,0.65,"1,03,118","72,026.70",26
WIPRO,16-Feb-26,0.72,0.74,0.74,0.63,0.73,"2,07,600","1,46,489.40",29
WIPRO,13-Feb-26,0.09,0.17,0.17,0.17,0.17,10,1.7,1
WIPRO,13-Feb-26,0.5,0.5,0.75,0.5,0.72,"19,08,000","12,97,547.60",89
WIPRO,13-Feb-26,0.8,0.8,0.8,0.65,0.79,"2,55,436","1,84,723.16",38
WIPRO,12-Feb-26,0.65,0.65,0.85,0.65,0.8,"2,75,471","2,00,513.02",49
WIPRO,12-Feb-26,0.74,0.74,0.75,0.5,0.5,"32,18,548","18,71,453.20",250
WIPRO,12-Feb-26,0.04,0.1,0.1,0.01,0.09,"1,30,542","11,808.46",8
WIPRO,11-Feb-26,0.3,0.8,0.8,0.52,0.65,"1,31,450","1,04,125.56",19
WIPRO,11-Feb-26,0.2,0.05,0.05,0.04,0.04,"7,81,000","32,240.00",83
WIPRO,11-Feb-26,0.7,0.75,0.75,0.65,0.74,"19,76,049","13,86,395.15",120
WIPRO,10-Feb-26,0.5,0.75,0.85,0.6,0.7,"45,59,025","33,76,315.70",195
WIPRO,10-Feb-26,0.6,0.15,0.8,0.15,0.3,"3,93,453","2,78,468.15",52
WIPRO,09-Feb-26,0.9,0.25,0.6,0.25,0.6,"1,33,624","80,105.10",20
WIPRO,09-Feb-26,0.6,0.7,0.75,0.3,0.5,"24,19,917","16,04,172.67",107
WIPRO,09-Feb-26,0.01,0.2,0.2,0.2,0.2,"48,000","9,600.00",6
WIPRO,07-Feb-26,0.03,12,12,12,12,"5,000","60,000.00",1
WIPRO,06-Feb-26,0.01,0.01,0.01,0.01,0.01,5,0.05,1
WIPRO,06-Feb-26,0.7,0.65,0.84,0.6,0.6,"14,34,000","10,50,268.39",199
WIPRO,06-Feb-26,0.56,0.54,0.9,0.5,0.9,"4,67,508","2,51,004.80",17
WIPRO,05-Feb-26,0.31,0.5,0.56,0.5,0.56,"22,235","11,211.64",12
WIPRO,05-Feb-26,0.8,0.7,0.8,0.67,0.7,"32,12,000","22,88,978.50",183
WIPRO,04-Feb-26,0.4,0.01,0.01,0.01,0.01,7,0.07,1
WIPRO,04-Feb-26,294.5,0.7,0.84,0.5,0.8,"83,60,457","63,53,747.10",453
WIPRO,04-Feb-26,0.55,0.26,0.52,0.26,0.31,855,438.74,8
WIPRO,03-Feb-26,0.05,0.05,1,0.05,0.55,"12,811","12,324.60",10
WIPRO,02-Feb-26,0.35,0.05,0.05,0.05,0.05,6,0.3,2
WIPRO,01-Feb-26,0.25,0.4,0.4,0.4,0.4,1,0.4,1
WIPRO,01-Feb-26,0.1,0.35,0.35,0.35,0.35,322,112.7,1
WIPRO,30-Jan-26,0.11,0.1,0.1,0.1,0.1,50,5,1
WIPRO,30-Jan-26,0.4,0.25,0.25,0.25,0.25,"14,000","3,500.00",3
WIPRO,29-Jan-26,0.01,0.01,0.4,0.01,0.4,"1,003",400.03,2
WIPRO,28-Jan-26,0.79,0.01,0.01,0.01,0.01,15,0.15,2
WIPRO,22-Jan-26,0.05,0.11,0.11,0.03,0.03,"96,000","10,080.00",4
WIPRO,22-Jan-26,0.75,0.75,0.75,0.72,0.72,"6,000","4,410.00",15
WIPRO,22-Jan-26,0.84,0.95,1.05,0.65,0.79,"57,21,106","45,08,461.80","10,211"
WIPRO,21-Jan-26,0.65,0.65,0.78,0.65,0.75,"18,000","13,677.00",12
WIPRO,21-Jan-26,0.33,0.05,0.05,0.05,0.05,"3,000",150,1
WIPRO,21-Jan-26,0.69,1,1,0.7,0.84,"1,22,37,587","98,00,840.04",783
WIPRO,20-Jan-26,0.65,0.6,0.79,0.6,0.69,"57,52,800","40,11,057.77",448
WIPRO,20-Jan-26,0.01,0.01,0.33,0.01,0.33,"3,112",35.78,5
WIPRO,20-Jan-26,0.6,0.7,0.72,0.65,0.65,"9,72,266","6,75,745.56",47
WIPRO,19-Jan-26,0.5,0.55,1.4,0.55,0.65,"1,92,07,756","1,95,65,097.26","13,698"
WIPRO,19-Jan-26,0.15,0.98,1.4,0.6,0.6,"10,91,839","9,55,950.24",74
WIPRO,19-Jan-26,0.38,0.27,0.8,0.01,0.01,"56,033","2,253.07",16
WIPRO,16-Jan-26,0.07,0.5,0.5,0.5,0.5,"60,000","30,000.00",1
WIPRO,16-Jan-26,1.5,0.15,0.15,0.15,0.15,66,9.9,1
WIPRO,16-Jan-26,1.58,0.01,0.38,0.01,0.38,"50,672",970.56,11
WIPRO,14-Jan-26,0.01,1.58,1.58,1.58,1.58,20,31.6,1
WIPRO,13-Jan-26,0.07,0.15,0.21,0.07,0.07,"25,00,800","3,24,962.03",53
WIPRO,12-Jan-26,0.3,0.13,0.15,0.05,0.07,"22,91,639","2,14,465.02",120
WIPRO,09-Jan-26,0.38,0.11,0.3,0.03,0.3,"6,41,861","64,239.13",44
WIPRO,09-Jan-26,0.49,0.01,0.01,0.01,0.01,52,0.52,1
WIPRO,08-Jan-26,0.39,0.25,0.38,0.1,0.38,"12,22,552","1,35,485.20",130
WIPRO,07-Jan-26,0.25,0.01,0.5,0.01,0.49,"15,192","1,620.06",14
WIPRO,07-Jan-26,0.65,0.15,0.39,0.15,0.39,50,18.54,2
WIPRO,06-Jan-26,0.16,0.25,0.75,0.25,0.65,550,340.5,6
WIPRO,05-Jan-26,0.1,0.1,0.25,0.1,0.25,"46,174","5,392.45",36
WIPRO,05-Jan-26,0.25,0.3,0.5,0.16,0.16,"17,80,514","5,19,234.27",165
WIPRO,03-Jan-26,0.05,2,2,2,2,"6,000","12,000.00",1
WIPRO,02-Jan-26,0.43,0.3,0.4,0.1,0.1,"5,64,976","1,65,297.00",20
WIPRO,02-Jan-26,0.26,0.4,0.5,0.25,0.25,"15,00,000","6,25,500.00",25
WIPRO,01-Jan-26,0.26,0.5,0.5,0.31,0.43,"1,16,160","49,396.00",13
WIPRO,31-Dec-25,0.41,0.26,0.26,0.26,0.26,92,24,2
WIPRO,30-Dec-25,0.5,0.32,0.51,0.32,0.49,"19,63,054","9,00,912.00",158
WIPRO,30-Dec-25,0.3,0.26,0.26,0.26,0.26,"1,26,000","32,760.00",4
WIPRO,30-Dec-25,0.46,0.26,0.55,0.26,0.41,"5,05,989","2,45,826.00",58
WIPRO,30-Dec-25,0.01,0.02,0.02,0.02,0.02,"3,000",60,1
WIPRO,29-Dec-25,0.5,0.45,0.65,0.45,0.46,"5,07,721","2,92,734.00",42
WIPRO,29-Dec-25,0.4,0.65,0.69,0.5,0.5,"23,288","14,287.00",11
WIPRO,29-Dec-25,0.02,0.02,0.02,0.01,0.01,"80,000","1,450.00",10
WIPRO,26-Dec-25,0.36,0.36,0.5,0.36,0.5,"9,231","4,615.00",6
WIPRO,26-Dec-25,0.1,0.02,0.02,0.02,0.02,"3,000",60,1
WIPRO,26-Dec-25,0.8,0.25,0.4,0.25,0.4,"2,400",701,5
WIPRO,24-Dec-25,0.25,0.25,0.6,0.25,0.36,"88,826","48,244.00",13
WIPRO,24-Dec-25,0.26,0.8,0.8,0.8,0.8,"52,082","41,666.00",2
WIPRO,24-Dec-25,0.16,0.14,0.2,0.01,0.1,"49,334","6,139.00",20
WIPRO,23-Dec-25,0.65,0.26,0.26,0.26,0.26,"1,600",416,2
WIPRO,22-Dec-25,0.1,0.16,0.16,0.16,0.16,16,3,1
WIPRO,22-Dec-25,0.26,0.26,0.65,0.25,0.65,"1,18,502","34,315.00",20
WIPRO,22-Dec-25,0.3,0.3,0.3,0.25,0.25,"15,089","3,773.00",6
WIPRO,19-Dec-25,0.25,0.3,0.3,0.3,0.3,35,11,2
WIPRO,19-Dec-25,0.01,0.1,0.1,0.1,0.1,"17,923","1,792.00",4
WIPRO,19-Dec-25,0.25,0.26,0.26,0.26,0.26,"50,000","13,000.00",5
WIPRO,18-Dec-25,0.2,0.01,0.01,0.01,0.01,51,1,1
WIPRO,18-Dec-25,0.5,0.15,0.95,0.15,0.25,287,104,5
WIPRO,17-Dec-25,0.84,0.2,0.7,0.2,0.5,294,140,4
WIPRO,17-Dec-25,0.25,0.25,0.25,0.25,0.25,"1,534",384,1
WIPRO,16-Dec-25,0.7,0.25,0.84,0.25,0.84,"15,026","10,928.00",5
